timestamp,btc_price,btc_volume,eth_price,eth_volume,fees,stablecoins_supply,defi_tvl,market_cap,volume,fng_value,is_panic_day,is_defi_stress_day,panic_in_next_days,is_pure_stress_day,target
2023-02-03,23539.6767702,44735297656.69828,1648.67968408,12542560274.342655,21747024.0,68036211442.0,48208317022.0,1116226896797.8271,91453432133.26874,60,0,0,0.0,0,0.0
2023-02-04,23451.57765077,41267040610.76361,1665.42787122,9528083087.520355,20227732.0,68028048893.0,48414812869.0,1123522036967.1438,98342229975.88116,58,0,0,0.0,0,0.0
2023-02-05,23340.34958554,21063097082.257824,1667.27169256,6766208820.07522,19846228.0,68071573715.0,48346858551.0,1124379149142.536,51977298436.96193,58,0,0,0.0,0,0.0
2023-02-06,22946.28657859,26678691424.549904,1631.37252336,8211226952.330717,20495423.0,68073000195.0,47929398085.0,1105059214010.0854,66059644569.74465,56,0,0,0.0,0,0.0
2023-02-07,22786.48300639,33963650031.470352,1617.14416329,7825100535.008893,22516246.0,68181990160.0,47723163364.0,1096678425701.485,67607761222.13105,54,0,0,0.0,0,0.0
2023-02-08,23294.91364835,38850594358.69947,1672.82267778,9180247305.88792,22552717.0,68184621866.0,48904960339.0,1136961405021.4658,80266745060.27188,58,0,0,0.0,0,0.0
2023-02-09,22947.50782857,34247782005.793324,1651.4083786,8766845417.320044,24546738.0,68178436345.0,48431498895.0,1123489580121.006,80014501093.72676,55,0,0,0.0,0,0.0
2023-02-10,21820.88650809,51161546272.35185,1546.38376866,12447757846.416866,28881522.0,68187940008.0,46322245076.0,1060566159246.0984,102814572225.5987,48,0,0,0.0,0,0.0
2023-02-11,21630.13297958,42389972640.44812,1515.53402686,9882779899.96751,21399978.0,68318922892.0,46116485064.0,1055756021755.0192,82291961626.02605,49,0,0,0.0,0,0.0
2023-02-12,21889.43208005,23574706405.838543,1541.96887694,6070233325.97355,18845258.0,68388188510.0,46623255724.0,1069484553336.4536,48125455279.35845,50,0,0,0.0,0,0.0
2023-02-13,21779.87440384,25877166000.55028,1515.33463118,6128794710.192691,22119132.0,68412500195.0,46380105481.0,1061525981348.8112,52010032310.04777,48,0,0,0.0,0,0.0
2023-02-14,21807.83427472,36761909546.14395,1506.91620101,11573812955.970678,23356383.0,69157627122.0,46029791704.0,1054063281843.7328,87415297716.91212,50,0,0,0.0,0,0.0
2023-02-15,22220.07099748,45363697019.73754,1556.96348435,11723184974.304256,23466933.0,69512709640.0,46820485709.0,1078839539516.8588,87583384392.55853,53,0,0,0.0,0,0.0
2023-02-16,24307.87510163,44336284482.19016,1674.85820747,11079231384.245422,25034883.0,69794648104.0,49567119791.0,1155593907100.7395,88973011519.55952,62,0,0,0.0,0,0.0
2023-02-17,23756.90728158,48144978044.45546,1646.14350189,13388835215.08776,24377018.0,70153203879.0,48665570254.0,1119696469586.8804,101824225218.06938,61,0,0,0.0,0,0.0
2023-02-18,24628.82455217,54200707340.94142,1697.08486657,10807323083.841965,22014488.0,70286590658.0,49975455033.0,1170819879731.873,99717085783.27928,60,0,0,0.0,0,0.0
2023-02-19,24642.79087074,24900444765.27695,1692.51896283,5863446679.020431,23107091.0,70415905100.0,50276839099.0,1171045340066.0557,55981697130.17432,60,0,0,0.0,0,0.0
2023-02-20,24284.47800371,33664683478.33256,1680.3786857,7499517187.119554,24536859.0,70415867086.0,49983156157.0,1160056769627.4275,73403147144.13467,58,0,0,0.0,0,0.0
2023-02-21,24786.66594085,38997046274.497246,1700.1986815,8435810846.264387,23548767.0,70436679657.0,50645466962.0,1181650265329.111,90667973608.45782,60,0,0,0.0,0,0.0
2023-02-22,24417.38703631,41991954878.4476,1656.58236957,9728814194.484385,23726467.0,70461120891.0,49608437659.0,1159353880372.215,88401492622.00323,59,0,0,0.0,0,0.0
2023-02-23,24146.10136455,40336608135.49699,1643.17339375,9836391621.850904,22592276.0,70591325939.0,49356942550.0,1151343644060.1567,84215551954.32518,56,0,0,0.0,0,0.0
2023-02-24,23951.11098423,42356618035.349625,1651.85000669,9698749201.902168,23599204.0,70688492884.0,49379513744.0,1147747484380.8623,79653442116.10147,53,0,0,0.0,0,0.0
2023-02-25,23172.28653802,35081974267.07997,1608.10349365,9609840835.076471,20166605.0,70791940347.0,48414772801.0,1113247273605.3423,79814986949.22237,52,0,0,0.0,0,0.0
2023-02-26,23157.03810746,22999909593.10942,1593.95197379,6117521125.045025,19945187.0,70846363789.0,48150010129.0,1108933843701.5908,50937495778.380035,51,0,0,0.0,0,0.0
2023-02-27,23541.11585449,24469102669.371048,1640.58271019,6357994998.206232,21120008.0,70876378483.0,49167906229.0,1130798839089.3003,48613102256.59353,50,0,0,0.0,0,0.0
2023-02-28,23518.12390628,28832423816.47872,1633.97662898,7916573299.24559,22032434.0,70919778481.0,49174714111.0,1124724535889.379,59095414006.39033,53,0,0,0.0,0,0.0
2023-03-01,23155.54374683,25534054046.06684,1606.63263945,6883711561.9226,22387820.0,70968174583.0,48855608645.0,1106942278129.539,54123984087.4651,50,0,0,0.0,0,0.0
2023-03-02,23634.33348912,32507897259.084335,1663.92577729,8672222866.055677,22189951.0,71063250396.0,49739158559.0,1132964754992.3477,63712546426.63995,51,0,0,0.0,0,0.0
2023-03-03,23464.33654185,27432755758.440197,1647.66466691,7930395056.206914,23761542.0,71109533437.0,49357330476.0,1121593889758.235,56732515319.1628,50,0,0,0.0,0,0.0
2023-03-04,22367.43302247,34239649135.07021,1570.6682106,11179316252.20772,19571374.0,71356058935.0,47846122972.0,1077247698255.6956,71842144383.94083,50,0,0,0.0,0,0.0
2023-03-05,22348.32991539,13392431931.930376,1568.49560106,4800994312.370927,19620166.0,71438255243.0,47758067827.0,1072693072348.2792,33339263031.536667,47,0,0,0.0,0,0.0
2023-03-06,22421.88580585,16080097920.160831,1563.22566201,62172854406.22754,19710077.0,71479265039.0,47838635502.0,1073804713025.527,92772787749.12712,48,0,0,0.0,0,0.0
2023-03-07,22415.11365969,21124920006.057713,1567.35014653,6627693313.532333,21636909.0,71581963508.0,47775145902.0,1073160124306.8698,45440432242.791664,49,0,0,0.0,0,0.0
2023-03-08,22217.20988491,27780357943.16268,1563.81318225,8523808476.527845,20569398.0,71722058691.0,47568736985.0,1065469889199.6808,59465794068.36405,50,0,0,0.0,0,0.0
2023-03-09,21712.65119391,28493032424.783108,1535.2602521,11881879818.725237,22608840.0,71725958692.0,46615960776.0,1041753878241.7118,60585270164.062515,44,0,0,0.0,0,0.0
